Id,Category
0,0
1,10
2,0
3,9
4,6
5,0
6,9
7,10
8,0
9,2
10,2
11,0
12,6
13,10
14,5
15,4
16,9
17,4
18,6
19,9
20,3
21,5
22,9
23,2
24,9
25,3
26,10
27,10
28,2
29,4
30,2
31,9
32,2
33,2
34,2
35,2
36,8
37,10
38,10
39,2
40,6
41,4
42,2
43,10
44,2
45,1
46,10
47,3
48,10
49,9
50,10
51,10
52,3
53,3
54,6
55,8
56,6
57,9
58,6
59,9
60,5
61,8
62,2
63,3
64,10
65,8
66,2
67,9
68,4
69,10
70,5
71,5
72,6
73,10
74,5
75,6
76,4
77,2
78,2
79,9
80,0
81,3
82,9
83,8
84,6
85,0
86,4
87,4
88,10
89,5
90,2
91,5
92,3
93,9
94,6
95,6
96,5
97,10
98,6
99,10
100,4
101,10
102,8
103,2
104,0
105,9
106,6
107,5
108,9
109,6
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,6
118,9
119,2
120,5
121,5
122,0
123,5
124,1
125,2
126,5
127,8
128,10
129,9
130,5
131,0
132,10
133,3
134,9
135,2
136,6
137,10
138,9
139,0
140,10
141,10
142,2
143,5
144,9
145,0
146,9
147,5
148,8
149,5
150,5
151,4
152,6
153,10
154,10
155,1
156,4
157,9
158,8
159,4
160,5
161,5
162,5
163,5
164,5
165,10
166,5
167,8
168,3
169,9
170,10
171,2
172,9
173,4
174,1
175,2
176,2
177,10
178,8
179,5
180,0
181,8
182,9
183,6
184,10
185,9
186,2
187,5
188,6
189,4
190,0
191,0
192,2
193,0
194,6
195,5
196,8
197,9
198,0
199,4
200,9
201,2
202,5
203,7
204,4
205,0
206,7
207,9
208,10
209,4
210,4
211,5
212,10
213,2
214,9
215,2
216,10
217,0
218,6
219,5
220,8
221,2
222,2
223,6
224,5
225,5
226,9
227,9
228,6
229,3
230,0
231,2
232,7
233,2
234,10
235,9
236,4
237,10
238,4
239,6
240,5
241,3
242,8
243,4
244,6
245,5
246,0
247,9
248,10
249,9
250,9
251,3
252,5
253,2
254,9
255,6
256,2
257,9
258,4
259,4
260,10
261,8
262,10
263,10
264,5
265,9
266,1
267,0
268,5
269,9
270,4
271,3
272,10
273,5
274,6
275,9
276,9
277,2
278,9
279,9
280,9
281,9
282,2
283,0
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,4
292,9
293,10
294,2
295,6
296,7
297,4
298,10
299,5
300,2
301,2
302,0
303,1
304,7
305,10
306,2
307,3
308,9
309,3
310,0
311,6
312,7
313,8
314,9
315,3
316,9
317,10
318,5
319,9
320,5
321,2
322,5
323,0
324,4
325,2
326,5
327,6
328,10
329,4
330,3
331,0
332,0
333,9
334,4
335,2
336,3
337,2
338,5
339,10
340,9
341,6
342,5
343,6
344,9
345,6
346,4
347,6
348,4
349,9
350,10
351,10
352,6
353,2
354,6
355,2
356,0
357,10
358,10
359,4
360,2
361,5
362,10
363,9
364,2
365,5
366,4
367,3
368,10
369,6
370,9
371,6
372,5
373,4
374,3
375,6
376,9
377,9
378,2
379,5
380,10
381,6
382,6
383,9
384,4
385,0
386,3
387,10
388,10
389,0
390,6
391,7
392,10
393,10
394,7
395,10
396,8
397,8
398,10
399,9
400,9
401,4
402,9
403,9
404,10
405,3
406,10
407,5
408,5
409,4
410,9
411,7
412,0
413,7
414,3
415,6
416,2
417,4
418,0
419,2
420,5
421,9
422,2
423,10
424,3
425,2
426,6
427,9
428,9
429,9
430,5
431,2
432,6
433,5
434,0
435,2
436,8
437,10
438,9
439,9
440,10
441,4
442,2
443,2
444,2
445,0
446,0
447,10
448,0
449,2
450,4
451,9
452,0
453,9
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,4
466,6
467,7
468,0
469,0
470,5
471,4
472,8
473,2
474,9
475,5
476,6
477,2
478,9
479,6
480,9
481,4
482,3
483,2
484,10
485,0
486,8
487,9
488,5
489,9
490,5
491,6
492,7
493,2
494,2
495,5
496,8
497,5
498,2
499,10
500,7
501,9
502,5
503,6
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,9
517,9
518,5
519,3
520,2
521,3
522,6
523,9
524,2
525,2
526,9
527,9
528,6
529,0
530,4
531,9
532,3
533,6
534,6
535,10
536,2
537,4
538,10
539,2
540,10
541,1
542,10
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,5
552,9
553,6
554,4
555,9
556,2
557,5
558,9
559,2
560,7
561,10
562,5
563,10
564,0
565,4
566,5
567,6
568,10
569,9
570,9
571,5
572,10
573,5
574,2
575,4
576,10
577,0
578,4
579,0
580,2
581,5
582,9
583,9
584,6
585,6
586,2
587,6
588,6
589,5
590,4
591,10
592,4
593,5
594,6
595,9
596,0
597,0
598,4
599,4
600,5
601,10
602,0
603,6
604,3
605,9
606,9
607,5
608,5
609,5
610,5
611,4
612,2
613,3
614,2
615,10
616,10
617,9
618,0
619,9
620,7
621,4
622,4
623,2
624,6
625,3
626,3
627,5
628,2
629,6
630,0
631,9
632,2
633,2
634,9
635,2
636,9
637,2
638,5
639,6
640,10
641,0
642,9
643,9
644,6
645,0
646,6
647,9
648,5
649,3
650,7
651,10
652,5
653,5
654,2
655,5
656,5
657,5
658,9
659,4
660,2
661,6
662,7
663,9
664,9
665,9
666,0
667,5
668,9
669,0
670,7
671,9
672,10
673,0
674,5
675,5
676,3
677,2
678,2
679,2
680,2
681,2
682,2
683,4
684,6
685,0
686,0
687,6
688,10
689,6
690,2
691,9
692,2
693,5
694,4
695,8
696,6
697,8
698,0
699,9
700,0
701,9
702,10
703,10
704,0
705,10
706,8
707,7
708,5
709,9
710,9
711,8
712,6
713,9
714,6
715,4
716,0
717,5
718,4
719,9
720,10
721,6
722,5
723,10
724,9
725,4
726,10
727,3
728,2
729,4
730,10
731,9
732,8
733,5
734,4
735,2
736,3
737,0
738,2
739,7
740,3
741,3
742,3
743,3
744,7
745,2
746,2
747,2
748,6
749,8
750,5
751,2
752,6
753,5
754,2
755,9
756,8
757,10
758,9
759,10
760,2
761,2
762,0
763,2
764,1
765,3
766,2
767,9
768,5
769,10
770,6
771,4
772,2
773,5
774,3
775,5
776,9
777,2
778,5
779,6
780,4
781,3
782,5
783,9
784,6
785,9
786,9
787,0
788,8
789,10
790,0
791,8
792,7
793,9
794,7
795,9
796,9
797,2
798,0
799,2
800,9
801,2
802,4
803,8
804,0
805,3
806,10
807,8
808,10
809,4
810,4
811,9
812,0
813,5
814,10
815,4
816,5
817,2
818,0
819,10
820,8
821,8
822,9
823,10
824,10
825,3
826,4
827,9
828,9
829,0
830,6
831,9
832,10
833,0
834,2
835,6
836,5
837,0
838,8
839,3
840,5
841,10
842,5
843,2
844,8
845,2
846,6
847,4
848,8
849,8
850,0
851,9
852,2
853,2
854,10
855,10
856,10
857,10
858,0
859,5
860,1
861,4
862,5
863,9
864,3
865,9
866,2
867,10
868,8
869,2
870,2
871,7
872,5
873,6
874,9
875,0
876,8
877,2
878,5
879,10
880,5
881,9
882,9
883,6
884,4
885,5
886,0
887,4
888,5
889,2
890,6
891,8
892,5
893,5
894,0
895,2
896,3
897,5
898,4
899,9
900,6
901,10
902,2
903,9
904,5
905,0
906,7
907,5
908,9
909,9
910,10
911,7
912,4
913,2
914,4
915,0
916,0
917,3
918,9
919,5
920,0
921,0
922,10
923,9
924,9
925,2
926,5
927,4
928,4
929,9
930,9
931,2
932,2
933,4
934,0
935,2
936,5
937,9
938,8
939,2
940,9
941,2
942,3
943,10
944,10
945,10
946,7
947,8
948,10
949,9
950,7
951,10
952,9
953,9
954,4
955,2
956,6
957,6
958,10
959,9
960,2
961,5
962,5
963,10
964,10
965,6
966,9
967,5
968,5
969,4
970,10
971,0
972,8
973,2
974,3
975,2
976,6
977,5
978,9
979,0
980,0
981,6
982,5
983,2
984,4
985,9
986,10
987,5
988,10
989,4
990,5
991,7
992,8
993,7
994,2
995,10
996,6
997,2
998,9
999,4
1000,9
1001,5
1002,10
1003,7
1004,5
1005,6
1006,0
1007,5
1008,9
1009,5
1010,5
1011,0
1012,6
1013,5
1014,0
1015,10
1016,4
1017,5
1018,2
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,2
1026,10
1027,3
1028,8
1029,5
1030,10
1031,4
1032,6
1033,2
1034,8
1035,10
1036,10
1037,5
1038,5
1039,8
1040,9
1041,10
1042,9
1043,9
1044,0
1045,9
1046,9
1047,5
1048,4
1049,9
1050,10
1051,9
1052,9
1053,5
1054,8
1055,9
1056,9
1057,5
1058,5
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,5
1066,8
1067,10
1068,4
1069,9
1070,4
1071,6
1072,0
1073,9
1074,10
1075,2
1076,8
1077,6
1078,2
1079,10
1080,9
1081,9
1082,10
1083,9
1084,4
1085,3
1086,10
1087,5
1088,9
1089,4
1090,9
1091,10
1092,2
1093,5
1094,8
1095,2
1096,10
1097,2
1098,4
1099,6
1100,1
1101,9
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,2
1111,9
1112,2
1113,9
1114,6
1115,3
1116,9
1117,5
1118,5
1119,5
1120,6
1121,9
1122,7
1123,0
1124,2
1125,9
1126,6
1127,10
1128,2
1129,4
1130,2
1131,2
1132,5
1133,6
1134,4
1135,8
1136,9
1137,9
1138,0
1139,0
1140,10
1141,3
1142,9
1143,2
1144,9
1145,10
1146,8
1147,10
1148,5
1149,10
1150,4
1151,2
1152,6
1153,5
1154,2
1155,9
1156,5
1157,5
1158,2
1159,9
1160,9
1161,2
1162,9
1163,9
1164,0
1165,2
1166,3
1167,5
1168,6
1169,5
1170,4
1171,2
1172,6
1173,10
1174,8
1175,0
1176,10
1177,4
1178,4
1179,0
1180,0
1181,6
1182,2
1183,5
1184,2
1185,6
1186,6
1187,5
1188,5
1189,9
1190,7
1191,2
1192,8
1193,6
1194,10
1195,3
1196,4
1197,5
1198,5
1199,9
1200,5
1201,6
1202,2
1203,3
1204,8
1205,5
1206,10
1207,9
1208,9
1209,3
1210,9
1211,10
1212,5
1213,10
1214,2
1215,10
1216,8
1217,10
1218,0
1219,9
1220,10
1221,5
1222,0
1223,10
1224,6
1225,6
1226,2
1227,6
1228,10
1229,9
1230,5
1231,4
1232,10
1233,5
1234,2
1235,8
1236,10
1237,0
1238,9
1239,9
1240,2
1241,2
1242,8
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,5
1254,5
1255,10
1256,4
1257,10
1258,8
1259,2
1260,7
1261,6
1262,2
1263,0
1264,4
1265,9
1266,5
1267,10
1268,2
1269,2
1270,2
1271,2
1272,2
1273,0
1274,0
1275,4
1276,4
1277,10
1278,10
1279,2
1280,2
1281,2
1282,9
1283,5
1284,0
1285,5
1286,9
1287,9
1288,10
1289,8
1290,8
1291,8
1292,2
1293,9
1294,4
1295,5
1296,2
1297,5
1298,9
1299,6
1300,9
1301,2
1302,5
1303,2
1304,0
1305,9
1306,2
1307,9
1308,2
1309,5
1310,9
1311,3
1312,9
1313,9
1314,10
1315,3
1316,0
1317,10
1318,5
1319,10
1320,2
1321,6
1322,3
1323,9
1324,4
1325,2
1326,5
1327,4
1328,4
1329,2
1330,10
1331,9
1332,6
1333,10
1334,5
1335,4
1336,3
1337,2
1338,0
1339,2
1340,5
1341,10
1342,4
1343,10
1344,9
1345,6
1346,5
1347,7
1348,2
1349,7
1350,10
1351,5
1352,2
1353,5
1354,8
1355,0
1356,5
1357,6
1358,5
1359,9
1360,0
1361,9
1362,5
1363,2
1364,10
1365,6
1366,6
1367,9
1368,9
1369,9
1370,8
1371,9
1372,2
1373,2
1374,9
1375,4
1376,10
1377,5
1378,2
1379,2
1380,4
1381,3
1382,8
1383,10
1384,5
1385,4
1386,4
1387,10
1388,9
1389,1
1390,10
1391,5
1392,2
1393,5
1394,2
1395,2
1396,10
1397,10
1398,8
1399,2
1400,1
1401,9
1402,9
1403,9
1404,9
1405,4
1406,3
1407,5
1408,5
1409,2
1410,6
1411,4
1412,6
1413,2
1414,8
1415,2
1416,5
1417,0
1418,2
1419,0
1420,10
1421,0
1422,3
1423,0
1424,10
1425,2
1426,0
1427,6
1428,2
1429,2
1430,9
1431,7
1432,10
1433,6
1434,8
1435,6
1436,5
1437,2
1438,5
1439,5
1440,9
1441,3
1442,2
1443,8
1444,10
1445,8
1446,2
1447,10
1448,6
1449,0
1450,6
1451,4
1452,4
1453,9
1454,7
1455,7
1456,9
1457,4
1458,4
1459,0
1460,2
1461,5
1462,2
1463,2
1464,9
1465,5
1466,9
1467,9
1468,2
1469,4
1470,2
1471,9
1472,5
1473,2
1474,6
1475,10
1476,9
1477,5
1478,5
1479,6
1480,9
1481,5
1482,9
1483,9
1484,4
1485,2
1486,4
1487,3
1488,7
1489,6
1490,2
1491,0
1492,5
1493,5
1494,10
1495,9
1496,9
1497,8
1498,4
1499,10
1500,10
1501,7
1502,8
1503,4
1504,9
1505,2
1506,9
1507,7
1508,8
1509,2
1510,0
1511,10
1512,2
1513,0
1514,5
1515,9
1516,10
1517,5
1518,2
1519,2
1520,2
1521,2
1522,6
1523,0
1524,4
1525,5
1526,5
1527,0
1528,9
1529,4
1530,10
1531,2
1532,3
1533,4
1534,8
1535,2
1536,3
1537,2
1538,6
1539,9
1540,9
1541,6
1542,4
1543,6
1544,6
1545,10
1546,9
1547,2
1548,10
1549,4
1550,2
1551,8
1552,6
1553,1
1554,5
1555,4
1556,5
1557,4
1558,6
1559,9
1560,0
1561,6
1562,3
1563,9
1564,7
1565,6
1566,9
1567,7
1568,5
1569,2
1570,5
1571,8
1572,10
1573,2
1574,10
1575,4
1576,9
1577,6
1578,2
1579,7
1580,9
1581,6
1582,8
1583,9
1584,8
1585,0
1586,4
1587,5
1588,9
1589,0
1590,2
1591,10
1592,9
1593,10
1594,8
1595,4
1596,10
1597,6
1598,3
1599,10
1600,9
1601,9
1602,5
1603,9
1604,8
1605,8
1606,7
1607,4
1608,7
1609,6
1610,9
1611,0
1612,9
1613,9
1614,6
1615,6
1616,0
1617,10
1618,3
1619,2
1620,2
1621,0
1622,2
1623,5
1624,2
1625,2
1626,9
1627,2
1628,9
1629,1
1630,5
1631,0
1632,5
1633,9
1634,8
1635,0
1636,0
1637,10
1638,5
1639,1
1640,2
1641,4
1642,5
1643,0
1644,9
1645,2
1646,2
1647,10
1648,3
1649,8
1650,7
1651,10
1652,5
1653,10
1654,9
1655,3
1656,5
1657,3
1658,5
1659,4
1660,0
1661,2
1662,1
1663,5
1664,5
1665,6
1666,10
1667,0
1668,0
1669,4
1670,0
1671,2
1672,6
1673,5
1674,9
1675,4
1676,5
1677,4
1678,5
1679,0
1680,6
1681,5
1682,4
1683,3
1684,5
1685,10
1686,4
1687,0
1688,8
1689,10
1690,2
1691,2
1692,5
1693,9
1694,5
1695,9
1696,8
1697,2
1698,9
1699,5
1700,4
1701,9
1702,5
1703,0
1704,0
1705,8
1706,10
1707,10
1708,0
1709,6
1710,2
1711,10
1712,5
1713,4
1714,4
1715,9
1716,2
1717,5
1718,9
1719,5
1720,9
1721,7
1722,4
1723,6
1724,9
1725,9
1726,3
1727,10
1728,4
1729,3
1730,10
1731,2
1732,9
1733,2
1734,7
1735,6
1736,0
1737,6
1738,0
1739,8
1740,5
1741,0
1742,9
1743,9
1744,3
1745,0
1746,10
1747,4
1748,9
1749,9
1750,0
1751,4
1752,3
1753,10
1754,9
1755,5
1756,0
1757,6
1758,6
1759,9
1760,2
1761,4
1762,9
1763,6
1764,4
1765,9
1766,3
1767,5
1768,0
1769,5
1770,5
1771,5
1772,10
1773,5
1774,4
1775,5
1776,10
1777,9
1778,2
1779,10
1780,4
1781,8
1782,9
1783,9
1784,9
1785,6
1786,2
1787,8
1788,4
1789,9
1790,8
1791,7
1792,2
1793,6
1794,4
1795,9
1796,5
1797,2
1798,2
1799,1
1800,9
1801,4
1802,5
1803,10
1804,6
1805,4
1806,9
1807,2
1808,9
1809,10
1810,6
1811,4
1812,4
1813,2
1814,10
1815,9
1816,2
1817,6
1818,9
1819,10
1820,9
1821,10
1822,9
1823,9
1824,9
1825,6
1826,2
1827,9
1828,9
1829,5
1830,0
1831,9
1832,2
1833,10
1834,6
1835,3
1836,3
1837,9
1838,6
1839,8
1840,0
1841,2
1842,2
1843,10
1844,9
1845,5
1846,2
1847,10
1848,3
1849,8
1850,2
1851,5
1852,0
1853,4
1854,7
1855,3
1856,6
1857,6
1858,9
1859,6
1860,8
1861,2
1862,0
1863,3
1864,8
1865,0
1866,2
1867,9
1868,1
1869,0
1870,1
1871,5
1872,0
1873,10
1874,5
1875,9
1876,8
1877,10
1878,5
1879,6
1880,3
1881,8
1882,2
1883,9
1884,4
1885,0
1886,9
1887,8
1888,5
1889,2
1890,4
1891,2
1892,9
1893,7
1894,3
1895,8
1896,6
1897,5
1898,6
1899,5
1900,5
1901,3
1902,5
1903,6
1904,8
1905,2
1906,6
1907,5
1908,5
1909,6
1910,10
1911,10
1912,3
1913,2
1914,9
1915,9
1916,5
1917,2
1918,8
1919,3
1920,5
1921,8
1922,10
1923,0
1924,7
1925,5
