Id,Category
0,2
1,10
2,8
3,9
4,5
5,3
6,9
7,10
8,0
9,2
10,9
11,0
12,5
13,10
14,5
15,4
16,9
17,4
18,5
19,9
20,3
21,5
22,3
23,3
24,9
25,3
26,10
27,4
28,5
29,8
30,5
31,9
32,8
33,4
34,2
35,2
36,8
37,10
38,10
39,8
40,6
41,2
42,2
43,3
44,5
45,1
46,10
47,0
48,8
49,9
50,10
51,1
52,3
53,8
54,9
55,8
56,7
57,9
58,3
59,9
60,5
61,4
62,6
63,3
64,10
65,8
66,3
67,9
68,4
69,10
70,5
71,5
72,5
73,5
74,5
75,2
76,4
77,2
78,2
79,9
80,0
81,0
82,9
83,8
84,6
85,2
86,4
87,4
88,8
89,9
90,5
91,3
92,0
93,5
94,5
95,9
96,3
97,2
98,6
99,10
100,9
101,8
102,8
103,5
104,4
105,7
106,6
107,5
108,9
109,8
110,5
111,8
112,5
113,3
114,9
115,4
116,9
117,6
118,9
119,3
120,3
121,2
122,0
123,2
124,3
125,5
126,5
127,8
128,10
129,9
130,5
131,4
132,8
133,0
134,9
135,2
136,3
137,10
138,3
139,0
140,8
141,10
142,2
143,8
144,9
145,4
146,9
147,5
148,2
149,5
150,5
151,4
152,4
153,0
154,10
155,9
156,8
157,9
158,8
159,2
160,5
161,5
162,5
163,0
164,8
165,8
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,3
175,2
176,2
177,10
178,8
179,2
180,9
181,8
182,9
183,9
184,8
185,9
186,4
187,4
188,0
189,4
190,1
191,3
192,3
193,4
194,4
195,5
196,8
197,9
198,0
199,9
200,9
201,8
202,8
203,7
204,4
205,5
206,4
207,9
208,10
209,9
210,4
211,5
212,8
213,5
214,1
215,2
216,10
217,3
218,9
219,5
220,5
221,2
222,2
223,7
224,5
225,5
226,3
227,9
228,6
229,8
230,4
231,9
232,6
233,8
234,3
235,8
236,9
237,10
238,4
239,9
240,5
241,3
242,0
243,4
244,8
245,5
246,5
247,9
248,10
249,5
250,9
251,3
252,4
253,9
254,5
255,5
256,4
257,9
258,4
259,0
260,8
261,8
262,4
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,4
271,3
272,10
273,5
274,2
275,9
276,9
277,5
278,5
279,9
280,9
281,9
282,2
283,4
284,10
285,0
286,2
287,4
288,3
289,10
290,9
291,0
292,9
293,4
294,9
295,6
296,7
297,5
298,8
299,5
300,8
301,2
302,4
303,1
304,0
305,10
306,8
307,8
308,9
309,3
310,1
311,4
312,3
313,8
314,8
315,3
316,7
317,8
318,5
319,9
320,3
321,2
322,8
323,4
324,4
325,3
326,5
327,3
328,10
329,4
330,8
331,0
332,5
333,9
334,0
335,9
336,3
337,2
338,5
339,10
340,9
341,5
342,5
343,1
344,3
345,4
346,4
347,6
348,4
349,9
350,4
351,8
352,6
353,2
354,2
355,2
356,0
357,10
358,8
359,9
360,4
361,5
362,10
363,5
364,3
365,5
366,4
367,4
368,2
369,4
370,9
371,4
372,2
373,4
374,3
375,3
376,9
377,9
378,8
379,5
380,10
381,5
382,3
383,9
384,4
385,0
386,9
387,10
388,10
389,8
390,4
391,3
392,5
393,10
394,9
395,3
396,8
397,8
398,9
399,9
400,9
401,9
402,9
403,9
404,6
405,3
406,10
407,5
408,5
409,4
410,9
411,3
412,5
413,7
414,3
415,6
416,4
417,5
418,3
419,8
420,5
421,2
422,5
423,4
424,3
425,8
426,3
427,9
428,9
429,10
430,9
431,0
432,4
433,8
434,1
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,9
443,1
444,2
445,9
446,5
447,4
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,4
464,0
465,4
466,6
467,7
468,9
469,5
470,5
471,4
472,8
473,8
474,9
475,0
476,6
477,1
478,2
479,6
480,5
481,0
482,3
483,1
484,10
485,5
486,9
487,9
488,5
489,9
490,8
491,5
492,7
493,2
494,5
495,2
496,8
497,2
498,9
499,10
500,3
501,1
502,5
503,2
504,0
