ID,Answer
0,白色羽毛
1,《臺灣府志》
2,袁晁
3,國柏林陸軍學院
4,決勝局
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,起到醜化對手的作用
10,周星馳
11,三中老
12,高架車站
13,anticipation
14,2004年
15,硫化氫
16,華萊士
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1910年代
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,被迫外遷
31,《金驢記》
32,灣仔
33,潮州
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有
39,南人
40,宋端宗
41,四千名
42,46億年
43,1048年
44,《國民養老保險法》
45,第一教學樓後側
46,1937年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕
50,康熙帝
51,商務印書館
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,李宗仁
67,東漢
68,前三點起落架
69,弘治十二年
70,亞洲
71,2016年
72,德意志聯邦共和國
73,氦
74,西班牙人入侵納瓦爾
75,建設部門
76,奧林匹克體育場
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂」
83,科龍港
84,蓋爾人
85,十二平均律
86,永平十二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1600年
103,有絲分裂
104,德國
105,俘虜芝諾比亞
106,仁祖
107,十個
108,佛學論書
109,臺中高農
110,下薩克森邦
111,三天
112,1944年
113,伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,男中音
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,主席
122,德國
123,陳寅恪
124,刺殺
125,喃字的複雜及未標準化
126,二千九百公尺
127,1939年
128,施里芬計劃
129,福建林家
130,用來運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,兩波
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式自殺，約20%通過子彈自盡，只有10%通過服毒自殺
145,吉米卡特
146,沈括
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,《最終解決德國問題條約》
154,清光緒十七年
155,雕像
156,防止中國共產黨滲透
157,65000平方
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年11月12日
162,63位
163,舅舅
164,古希臘時代
165,盧安達語
166,香港九龍半島東面的海灣，泛指紅磡至觀塘之間一帶海域
167,蔣中正
168,農民
169,網景通訊公司
170,9月1日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,南越國
176,莎草紙
177,岑智明
